labels_km,value,distance_centroid,price_1.0,price_2.0,price_3.0,price_4.0,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5.0,type_aa_other,type_asianfusion,type_bakeries,type_bars,type_bbq,type_breakfast_brunch,type_burgers,type_cafes,type_chicken_wings,type_chinese,type_cocktailbars,type_coffee,type_convenience,type_delis,type_desserts,type_diners,type_divebars,type_donuts,type_filipino,type_foodstands,type_foodtrucks,type_french,type_grocery,type_hotdogs,type_icecream,type_indpak,type_italian,type_japanese,type_juicebars,type_korean,type_latin,type_lounges,type_mediterranean,type_mexican,type_mideastern,type_newamerican,type_persian,type_pizza,type_ramen,type_salad,type_salvadoran,type_sandwiches,type_seafood,type_sportsbars,type_streetvendors,type_sushi,type_tacos,type_thai,type_tradamerican,type_vegan,type_vietnamese,type_wine_bars
46,540965.0,0.016619171522363536,68.0,45.0,0.0,0.0,0.0,0.0,5.0,11.0,17.0,13.0,24.0,26.0,13.0,4.0,10,0,3,0,2,2,2,0,0,6,0,2,1,2,0,2,2,0,2,1,2,0,2,12,1,0,0,4,1,2,2,0,4,11,0,2,0,12,0,2,0,3,4,1,0,2,0,7,0,0,2,0
47,499936.0,0.015207023681377808,154.0,23.0,5.0,0.0,0.0,0.0,0.0,12.0,8.0,15.0,23.0,50.0,57.0,17.0,4,2,4,0,0,5,7,0,1,4,2,8,3,0,2,0,3,2,0,10,4,0,3,9,0,0,0,4,2,0,0,0,0,68,0,5,0,13,0,0,5,1,0,0,8,0,0,0,0,0,3,0
48,419352.0,0.016455615886833495,92.0,44.0,0.0,0.0,0.0,0.0,6.0,24.0,12.0,19.0,33.0,30.0,9.0,3.0,5,0,2,1,0,2,6,0,0,6,0,4,1,0,0,0,0,3,0,0,3,0,0,8,5,0,2,4,0,0,0,0,0,40,0,2,0,20,0,2,2,2,4,0,2,2,0,2,6,0,0,0
49,307547.0,0.015204412034009145,203.0,25.0,3.0,2.0,0.0,2.0,28.0,18.0,24.0,21.0,48.0,38.0,34.0,20.0,15,0,9,0,3,5,24,0,9,10,0,2,3,0,0,0,0,7,0,6,3,0,1,21,0,0,0,3,5,0,6,0,0,45,0,5,0,17,0,0,13,5,3,4,6,0,3,0,0,0,0,0
50,939125.0,0.0114018341277407,92.0,147.0,11.0,0.0,0.0,0.0,0.0,2.0,5.0,20.0,62.0,111.0,46.0,4.0,33,0,3,3,0,7,6,2,0,6,7,21,1,0,2,2,4,1,0,0,6,0,3,5,4,3,12,2,3,0,0,7,5,29,0,4,0,8,0,2,3,10,2,4,0,3,0,3,10,9,9,6
51,329253.0,0.009222822454308097,128.0,37.0,0.0,2.0,0.0,0.0,3.0,9.0,5.0,11.0,26.0,57.0,34.0,22.0,2,0,14,0,0,0,6,0,1,2,0,2,2,1,2,0,0,1,0,1,6,0,1,4,3,0,1,0,2,0,1,0,3,81,0,0,0,4,0,0,1,0,7,1,7,2,6,3,0,0,0,0
52,1082396.0,0.01616682940756604,48.0,88.0,4.0,0.0,0.0,1.0,0.0,3.0,4.0,15.0,39.0,58.0,18.0,2.0,12,0,5,2,0,6,2,4,0,6,0,10,2,6,1,0,0,0,0,0,3,0,4,8,3,4,4,8,0,0,0,0,6,2,0,6,2,8,2,2,0,10,4,0,0,4,0,2,2,0,0,0
53,1035399.0,0.00833278991596639,100.0,183.0,18.0,1.0,0.0,0.0,0.0,3.0,8.0,12.0,53.0,137.0,77.0,12.0,24,3,14,7,4,0,6,1,4,8,2,24,2,0,14,0,2,2,2,0,0,2,2,3,2,2,11,4,2,66,5,2,0,12,0,7,0,5,0,0,6,2,8,0,1,12,6,16,1,3,3,0
54,585579.0,0.012231664952240998,83.0,51.0,2.0,0.0,1.0,1.0,6.0,9.0,7.0,10.0,15.0,60.0,24.0,3.0,20,0,4,0,3,3,6,0,4,8,0,7,1,1,2,0,0,3,0,1,1,0,4,5,5,0,0,3,1,7,2,0,0,15,0,0,0,5,0,0,6,5,5,0,4,0,0,0,5,0,0,0
55,1036214.0,0.012824703846153829,104.0,110.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,47.0,115.0,47.0,6.0,23,6,10,1,2,6,1,1,0,2,7,11,1,3,2,5,1,2,0,0,9,3,3,2,3,3,0,18,0,0,0,3,3,35,0,15,0,11,3,0,0,0,2,0,0,2,3,6,6,6,0,0
