,name,id,price,alias,type,category,rating,zip,latitude,longitude,labels_km,centroid_latitude,centroid_longitude,distance_centroid
7991,Olio GCM Wood Fired Pizzeria,C3Yv3DBc7LPekpcMMDKS0A,2.0,olio-gcm-wood-fired-pizzeria-los-angeles,pizza,pizza,4.0,90013,34.0506,-118.249,3,34.04791858064516,-118.25479096774194,0.006382
7992,Wokcano,san8eG8xZumc9tShj65MPw,2.0,wokcano-los-angeles-4,chinese,chinese,3.5,90017,34.0486,-118.259,3,34.04791858064516,-118.25479096774194,0.004264
7993,Amara Kitchen,n4EGfk1kjwaiJnX_RA1ABg,2.0,amara-kitchen-los-angeles,coffee,coffee,4.0,90042,34.1188,-118.179,39,34.115948412698415,-118.19605952380952,0.017296
7994,Rhythm Room LA,c1ozv7ODg7wBTEgWast0eA,2.0,rhythm-room-la-los-angeles-4,bars,bars,4.5,90014,34.046,-118.251,3,34.04791858064516,-118.25479096774194,0.004249
7995,Hard Times Pizza,YDn6HHTNJF_Q79fP0mEKQw,1.0,hard-times-pizza-los-angeles-2,pizza,pizza,4.0,90026,34.0785,-118.26,68,34.076694019933555,-118.2601561461794,0.001813
7996,Rice & Nori,g5s8qBx7_uUU-3pALdvCMQ,1.0,rice-and-nori-los-angeles,japanese,japanese,4.5,90012,34.0501,-118.242,102,34.047863049095604,-118.23999741602067,0.003002
7997,Van Leeuwen Artisan Ice Cream,q8aJs6HGC_FwuLTzvlKR_Q,2.0,van-leeuwen-artisan-ice-cream-los-angeles-5,icecream,icecream,4.0,90013,34.0449,-118.23200000000001,102,34.047863049095604,-118.23999741602067,0.008529
7998,Meatzilla!,kxUJN3bMLCPBY1c5M_hH3w,2.0,meatzilla-los-angeles,burgers,burgers,4.5,90014,34.044000000000004,-118.251,3,34.04791858064516,-118.25479096774194,0.005452
7999,Golden Gopher,C_gA0UppWBKtO_dZefXdGw,2.0,golden-gopher-los-angeles,lounges,lounges,4.0,90014,34.045,-118.256,3,34.04791858064516,-118.25479096774194,0.003159
8000,Drive Thru Pupusas,BiQcXWY0znzn1h3nB8k3Hw,1.0,drive-thru-pupusas-los-angeles,salvadoran,salvadoran,5.0,90041,34.1241,-118.221,14,34.13574075829384,-118.2133933649289,0.013906
8001,Berlin Currywurst,CEgXWVuffLS6yjq_O0seVg,1.0,berlin-currywurst-los-angeles-3,german,german,4.0,90013,34.0506,-118.249,3,34.04791858064516,-118.25479096774194,0.006382
8002,Frisco Baking Co,ozEw7ndWZ5wW5gjygimyeQ,1.0,frisco-baking-co-los-angeles,bakeries,bakeries,4.5,90065,34.0866,-118.225,47,34.07790054945055,-118.21534065934065,0.012999
8003,Sonny's Hideaway,l6HC0Y2adFMyV62rew9QCA,2.0,sonnys-hideaway-los-angeles,cocktailbars,cocktailbars,4.0,90042,34.1209,-118.20299999999999,39,34.115948412698415,-118.19605952380952,0.008526
8004,Son of a Bun,JBmDS4EMDwfDSRq7kTDNqA,2.0,son-of-a-bun-los-angeles-2,foodtrucks,foodtrucks,4.5,90013,34.046,-118.245,102,34.047863049095604,-118.23999741602067,0.005338
8005,El Milagro,8sVUX79Ffk0_ObIpwVBNaw,1.0,el-milagro-los-angeles-2,streetvendors,streetvendors,4.5,90031,34.0774,-118.225,47,34.07790054945055,-118.21534065934065,0.009672
8006,Rick's Drive In and Out,AOBWAGMvCBq7xMC3wQEHkQ,1.0,ricks-drive-in-and-out-los-angeles-2,tradamerican,tradamerican,3.5,90039,34.106,-118.256,50,34.1143908,-118.265144,0.01241
8007,District,tNLPTQYYfzh3IL7YoS1s_g,2.0,district-los-angeles-2,cocktailbars,cocktailbars,4.0,90017,34.048,-118.258,3,34.04791858064516,-118.25479096774194,0.00321
8008,La Estrella Taco Truck,d_BhHhyeyHwkS-9LE3-fNw,1.0,la-estrella-taco-truck-los-angeles-3,mexican,mexican,4.0,90042,34.1202,-118.2,39,34.115948412698415,-118.19605952380952,0.005797
